Index,Year,TOTAL DEMAND
165,2013/10,7510.929052419355
166,2013/11,7558.364902777778
167,2013/12,7702.59438172043
168,2014/1,8072.019032258065
169,2014/2,8121.224129464286
170,2014/3,7803.098481182795
171,2014/4,7473.865076388889
172,2014/5,7843.081364247312
173,2014/6,8229.032604166667
174,2014/7,8668.205698924732
175,2014/8,8465.155625
176,2014/9,7687.345458333334
177,2014/10,7433.564274193549
178,2014/11,7678.261097222223
179,2014/12,7539.068192204301
180,2015/1,7972.3709475806445
181,2015/2,8019.123750000001
182,2015/3,7764.273850806452
183,2015/4,7456.230784722224
184,2015/5,8002.71058467742
185,2015/6,8629.301034722224
186,2015/7,9005.74930107527
187,2015/8,8311.558212365591
188,2015/9,7717.3368125
189,2015/10,7441.895201612903
190,2015/11,7668.81963888889
191,2015/12,7757.163682795699
192,2016/1,7904.13506048387
193,2016/2,8386.692880747127
194,2016/3,8113.953702956989
195,2016/4,7518.308993055555
196,2016/5,7679.082110215054
197,2016/6,8558.6696875
198,2016/7,8636.586646505377
199,2016/8,8454.868837365591
200,2016/9,7653.437645833334
201,2016/10,7198.363588709677
202,2016/11,7605.36013888889
203,2016/12,8034.2462903225805
204,2017/1,8588.114784946238
205,2017/2,8638.154203869048
206,2017/3,7947.204415322581
207,2017/4,7306.980569444444
208,2017/5,7948.897997311828
209,2017/6,8745.671673611108
210,2017/7,8746.455288978494
211,2017/8,8293.917184139784
212,2017/9,7577.864027777778
213,2017/10,7301.044771505376
214,2017/11,7526.64157638889
215,2017/12,8047.68622311828
216,2018/1,8364.867251344087
217,2018/2,8216.376421130952
218,2018/3,7812.623501344087
219,2018/4,7544.795791666666
220,2018/5,7896.8341599462365
221,2018/6,8750.528708333333
222,2018/7,8673.007157258064
223,2018/8,8383.496565860216
224,2018/9,7682.247541666666
225,2018/10,7409.968407258065
226,2018/11,7444.262791666667
227,2018/12,7822.451471774193
228,2019/1,8984.024690860215
229,2019/2,8188.824047619048
230,2019/3,7860.525611559139
231,2019/4,7329.581576388888
232,2019/5,7870.53756048387
233,2019/6,8627.5583125
234,2019/7,8568.511370967743
235,2019/8,8401.269885752688
236,2019/9,7487.789604166667
237,2019/10,7203.307708333334
238,2019/11,7410.261805555556
239,2019/12,7631.590557795699
240,2020/1,8264.217157258065
241,2020/2,7945.958994252874
242,2020/3,7342.016155913978
243,2020/4,6926.611083333334
244,2020/5,7791.773219086022
245,2020/6,8491.714659722222
246,2020/7,8690.303077956989
247,2020/8,8300.298178763442
248,2020/9,7254.722076388888
249,2020/10,6955.32066532258
250,2020/11,7326.471805555556
251,2020/12,7215.818830645161
252,2021/1,7570.487741935483
253,2021/2,7469.320654761906
254,2021/3,7320.171344086021
255,2021/4,7167.313152777778
256,2021/5,7847.2463911290315
257,2021/6,8814.176722222222
258,2021/7,8733.675463709676
259,2021/8,7806.468951612904
260,2021/9,7066.365520833333
261,2021/10,6722.813549507169
262,2021/11,6944.0862800925925
263,2021/12,7146.572272625448
264,2022/1,7623.91286626344
265,2022/2,7528.933838045635
266,2022/3,7351.063167562724
267,2022/4,7065.332621527778
268,2022/5,7810.087544802866
269,2022/6,8840.958415509258
270,2022/7,8905.468630152329
271,2022/8,8248.450435707886
272,2022/9,7516.1221493055555
273,2022/10,7052.456814516128
274,2022/11,6617.120862268518
275,2022/12,6721.055498431899
276,2023/1,7319.43070452509
277,2023/2,7643.787197420635
278,2023/3,7609.466500896057
279,2023/4,6928.495931712963
280,2023/5,7976.602829301076
281,2023/6,8467.987290509258
282,2023/7,8197.766125672044
283,2023/8,7746.870593637994
284,2023/9,6890.21768287037
285,2023/10,6531.689951836916
286,2023/11,6931.272277777777
287,2023/12,7375.250356182796
